name,season,team,adjustedSalary,salary,capPercentage
Corey Perry,2013,ANA,11197350,8625000,0.1341
Ryan Getzlaf,2013,ANA,10713050,8250000,0.1283
Jonas Hiller,2013,ANA,5845000,4500000,0.07
Cam Fowler,2013,ANA,5193700,4000000,0.0622
Francois Beauchemin,2013,ANA,4542400,3500000,0.0544
Bryan Allen,2013,ANA,4542400,3500000,0.0544
Saku Koivu,2013,ANA,3248150,2500000,0.0389
Andrew Cogliano,2013,ANA,3106200,2390000,0.0372
Luca Sbisa,2013,ANA,2822300,2175000,0.0338
Teemu Selanne,2013,ANA,2596850,2000000,0.0311
Daniel Winnik,2013,ANA,2338000,1800000,0.028
Kyle Palmieri,2013,ANA,1903800,1466667,0.0228
Matt Beleskey,2013,ANA,1753500,1350000,0.021
Ben Lovejoy,2013,ANA,1427850,1100000,0.0171
Mathieu Perreault,2013,ANA,1361050,1050000,0.0163
Tuukka Rask,2013,BOS,9093150,7000000,0.1089
Zdeno Chara,2013,BOS,8984600,6916667,0.1076
Milan Lucic,2013,BOS,7790550,6000000,0.0933
David Krejci,2013,BOS,6813600,5250000,0.0816
Patrice Bergeron,2013,BOS,6496300,5000000,0.0778
Brad Marchand,2013,BOS,5845000,4500000,0.07
Loui Eriksson,2013,BOS,5519350,4250000,0.0661
Marc Savard,2013,BOS,5227100,4027143,0.0626
Johnny Boychuk,2013,BOS,4375400,3366667,0.0524
Dennis Seidenberg,2013,BOS,4216750,3250000,0.0505
Chris Kelly,2013,BOS,3899450,3000000,0.0467
Jarome Iginla,2013,BOS,2338000,1800000,0.028
Gregory Campbell,2013,BOS,2079150,1600000,0.0249
Adam McQuaid,2013,BOS,2037400,1566667,0.0244
Daniel Paille,2013,BOS,1686700,1300000,0.0202
Shawn Thornton,2013,BOS,1427850,1100000,0.0171
Carl Soderberg,2013,BOS,1310950,1008333,0.0157
Tyler Myers,2013,BUF,7139250,5500000,0.0855
Ville Leino,2013,BUF,5845000,4500000,0.07
Cody Hodgson,2013,BUF,5519350,4250000,0.0661
Drew Stafford,2013,BUF,5193700,4000000,0.0622
Christian Ehrhoff,2013,BUF,5193700,4000000,0.0622
Henrik Tallinder,2013,BUF,4383750,3375000,0.0525
Tyler Ennis,2013,BUF,3648950,2812500,0.0437
Jamie McBain,2013,BUF,2338000,1800000,0.028
Mike Weber,2013,BUF,2162650,1666667,0.0259
Zemgus Girgensons,2013,BUF,1778550,1369167,0.0213
Jhonas Enroth,2013,BUF,1619900,1250000,0.0194
Michael Cammalleri,2013,CGY,7790550,6000000,0.0933
Dennis Wideman,2013,CGY,6813600,5250000,0.0816
Mark Giordano,2013,CGY,5218750,4020000,0.0625
David Jones,2013,CGY,5193700,4000000,0.0622
Jiri Hudler,2013,CGY,5193700,4000000,0.0622
Matt Stajan,2013,CGY,4542400,3500000,0.0544
Ladislav Smid,2013,CGY,3657300,2817949,0.0438
Karri Ramo,2013,CGY,3573800,2750000,0.0428
Curtis Glencross,2013,CGY,3314950,2550000,0.0397
TJ Brodie,2013,CGY,2755500,2125000,0.033
Chris Butler,2013,CGY,2204400,1700000,0.0264
Kris Russell,2013,CGY,1945550,1500000,0.0233
Mikael Backlund,2013,CGY,1945550,1500000,0.0233
TJ Galiardi,2013,CGY,1619900,1250000,0.0194
Eric Staal,2013,CAR,10713050,8250000,0.1283
Alexander Semin,2013,CAR,9093150,7000000,0.1089
Cam Ward,2013,CAR,8183000,6300000,0.098
Jordan Staal,2013,CAR,7790550,6000000,0.0933
Jeff Skinner,2013,CAR,7431500,5725000,0.089
Joni Pitkanen,2013,CAR,5845000,4500000,0.07
Andrej Sekera,2013,CAR,3573800,2750000,0.0428
John-Michael Liles,2013,CAR,2655300,2046795,0.0318
Ron Hainsey,2013,CAR,2596850,2000000,0.0311
Jiri Tlusty,2013,CAR,2079150,1600000,0.0249
